utterance,Utterance Token,RNN Sentiment,RNN Rating
"I don't have an online account, what do I have to do to register?","['onlin', 'account', 'regist']",Positive,5
can you tell me if i can regisger two accounts with a single email address?,"['tell', 'regisg', 'two', 'account', 'singl', 'email', 'address']",Neutral,1
"I have no online account, open one, please","['onlin', 'account', 'open', 'one', 'pleas']",Neutral,5
"could you ask an agent how to open an account, please?","['could', 'ask', 'agent', 'open', 'account', 'pleas']",Negative,1
"i want an online account, create one","['want', 'onlin', 'account', 'creat', 'one']",Neutral,5
"i want an account, i need help opening one","['want', 'account', 'need', 'help', 'open', 'one']",Negative,1
tell me if I can register  two online accounts with the same email,"['tell', 'regist', 'two', 'onlin', 'account', 'email']",Positive,5
i want to know if i could create two profiles with the same email address,"['want', 'know', 'could', 'creat', 'two', 'profil', 'email', 'address']",Neutral,1
can you tell me if i can create more than one fucking user account with the same email?,"['tell', 'creat', 'one', 'fuck', 'user', 'account', 'email']",Neutral,1
were to create an onlind account,"['creat', 'onlind', 'account']",Positive,1
i wanna know if i can create more than one user account with a single email address,"['wan', 'na', 'know', 'creat', 'one', 'user', 'account', 'singl', 'email', 'address']",Negative,1
can I create two online accounts with a single email?,"['creat', 'two', 'onlin', 'account', 'singl', 'email']",Positive,5
"I don't have a user account, how do I create one?","['user', 'account', 'creat', 'one']",Negative,1
"I have no user account, what do I have to do to create one?","['user', 'account', 'creat', 'one']",Negative,1
I want to know if I can own several accounts,"['want', 'know', 'sever', 'account']",Neutral,5
"I don't have a profile , can I creae one?","['profil', 'creae', 'one']",Positive,5
"I don't have an online account, I need help creating one","['onlin', 'account', 'need', 'help', 'creat', 'one']",Negative,5
I want to know if I can register several user accounts with the same email address,"['want', 'know', 'regist', 'sever', 'user', 'account', 'email', 'address']",Neutral,1
"I want an account, what do I have to do to open one?","['want', 'account', 'open', 'one']",Neutral,1
tell me if I could register two user accounts with a single email address,"['tell', 'could', 'regist', 'two', 'user', 'account', 'singl', 'email', 'address']",Negative,1
"I don't have a account, I need help opening one","['account', 'need', 'help', 'open', 'one']",Negative,4
"I haven't got a user account, can you register?","['got', 'user', 'account', 'regist']",Positive,1
I need a user account and I want to create one,"['need', 'user', 'account', 'want', 'creat', 'one']",Negative,5
"I need an online account, how can I open one?","['need', 'onlin', 'account', 'open', 'one']",Neutral,3
"I don't have a profile, how do I create one?","['profil', 'creat', 'one']",Negative,5
tell me if I can register two accounts with a single email address,"['tell', 'regist', 'two', 'account', 'singl', 'email', 'address']",Neutral,1
"I haven't got an online account, help me open one","['got', 'onlin', 'account', 'help', 'open', 'one']",Neutral,5
"ive got no online account, what can i do to register?","['ive', 'got', 'onlin', 'account', 'regist']",Positive,5
I want to know if I can register several profiles with the same email address,"['want', 'know', 'regist', 'sever', 'profil', 'email', 'address']",Neutral,1
i need help registering,"['need', 'help', 'regist']",Positive,4
i want to know if i can have several accounts,"['want', 'know', 'sever', 'account']",Neutral,5
"I need an account, I need help opening one","['need', 'account', 'need', 'help', 'open', 'one']",Negative,5
"i want to create an account, what do i have to do?","['want', 'creat', 'account']",Negative,3
"I'd like a user account, open one","['like', 'user', 'account', 'open', 'one']",Negative,4
"I want a user account , open one","['want', 'user', 'account', 'open', 'one']",Neutral,1
"I need an online account, what do I have to do?","['need', 'onlin', 'account']",Negative,5
I want to know if I can create more than one account with a single email,"['want', 'know', 'creat', 'one', 'account', 'singl', 'email']",Neutral,1
"I don't have a user account, register","['user', 'account', 'regist']",Positive,5
"I want to register, what do I have to do?","['want', 'regist']",Neutral,3
"I haven't got an online account, I need help opening one","['got', 'onlin', 'account', 'need', 'help', 'open', 'one']",Neutral,5
"I have no fucking account, I need help registering, please","['fuck', 'account', 'need', 'help', 'regist', 'pleas']",Negative,4
I want to know if I can register more than one user account with a single email address,"['want', 'know', 'regist', 'one', 'user', 'account', 'singl', 'email', 'address']",Neutral,1
I want to knoe if I can create two profiles with an single email address,"['want', 'knoe', 'creat', 'two', 'profil', 'singl', 'email', 'address']",Neutral,1
can I own more than one account?,"['one', 'account']",Positive,5
"i want a profile, what should i do?","['want', 'profil']",Neutral,3
"I need an online account, what should I do to create one?","['need', 'onlin', 'account', 'creat', 'one']",Neutral,5
"i dont have a account, i need help opening one","['dont', 'account', 'need', 'help', 'open', 'one']",Negative,5
"I want a profille, how can I create one?","['want', 'profil', 'creat', 'one']",Negative,1
how can I open an online account?,"['open', 'onlin', 'account']",Negative,5
ask an agent how i could create a user account,"['ask', 'agent', 'could', 'creat', 'user', 'account']",Positive,5
"i dont have an online account, what can i do?","['dont', 'onlin', 'account']",Positive,5
can i register?,['regist'],Positive,5
"i have no account, what do i have to do?",['account'],Positive,5
i watn to know if i can register two profiles with the same email address,"['watn', 'know', 'regist', 'two', 'profil', 'email', 'address']",Positive,1
how can I create an online account?,"['creat', 'onlin', 'account']",Positive,5
"please, i want to know if i could create more than one profile with a single email address","['pleas', 'want', 'know', 'could', 'creat', 'one', 'profil', 'singl', 'email', 'address']",Negative,5
"I've got no profile, how can I create one?","['got', 'profil', 'creat', 'one']",Neutral,1
"I would like a fucking user account , how can I open one?","['would', 'like', 'fuck', 'user', 'account', 'open', 'one']",Negative,1
"I have no account, can ylu help me?","['account', 'ylu', 'help']",Positive,4
I want to know if I can create more than one account with the same email address,"['want', 'know', 'creat', 'one', 'account', 'email', 'address']",Negative,1
"I haven't got an account, what can I do to open one?","['got', 'account', 'open', 'one']",Neutral,1
i want to know if i can create two accounts with a single email address,"['want', 'know', 'creat', 'two', 'account', 'singl', 'email', 'address']",Neutral,1
"I want an account, create one","['want', 'account', 'creat', 'one']",Negative,1
"i want an account, can u create one?","['want', 'account', 'u', 'creat', 'one']",Neutral,1
"I haven't got an account, can I create one?","['got', 'account', 'creat', 'one']",Neutral,1
"I haven't got an account, can you open one?","['got', 'account', 'open', 'one']",Neutral,1
"I don't have a user account, I need help opening one","['user', 'account', 'need', 'help', 'open', 'one']",Negative,5
"I've got no account , can I register?","['got', 'account', 'regist']",Positive,1
"I want to create an online account, what can I do?","['want', 'creat', 'onlin', 'account']",Positive,3
I want to know if I can create more than one online account with a single email address,"['want', 'know', 'creat', 'one', 'onlin', 'account', 'singl', 'email', 'address']",Negative,1
"I haven't got a user account, can you help me?","['got', 'user', 'account', 'help']",Positive,1
"I have no account, create one","['account', 'creat', 'one']",Negative,5
"I don't have an online account, what do I have to do?","['onlin', 'account']",Positive,5
can i own more than one online account?,"['one', 'onlin', 'account']",Positive,5
I want to know if I can register two accounts with a single email address,"['want', 'know', 'regist', 'two', 'account', 'singl', 'email', 'address']",Neutral,1
"i have no account, what should i do to open one?","['account', 'open', 'one']",Negative,1
"I have no user account , what do I have to do to open one?","['user', 'account', 'open', 'one']",Negative,1
can i have more than one online account?,"['one', 'onlin', 'account']",Positive,5
i wanna know if i can create two online accounts with a single email address,"['wan', 'na', 'know', 'creat', 'two', 'onlin', 'account', 'singl', 'email', 'address']",Positive,5
"I want a user account, how can I open one?","['want', 'user', 'account', 'open', 'one']",Neutral,1
can you tell me if I can register several accounts with a single email?,"['tell', 'regist', 'sever', 'account', 'singl', 'email']",Neutral,1
I want to open a user account,"['want', 'open', 'user', 'account']",Neutral,3
"please, i want to know if i can create two user accounts with the same email","['pleas', 'want', 'know', 'creat', 'two', 'user', 'account', 'email']",Positive,5
"I haven't got auser account, help me open one","['got', 'auser', 'account', 'help', 'open', 'one']",Neutral,1
"i dont have a user account and i want to open one, please","['dont', 'user', 'account', 'want', 'open', 'one', 'pleas']",Negative,5
i wanna know if i can register more than oneuser account with the same email,"['wan', 'na', 'know', 'regist', 'oneus', 'account', 'email']",Positive,5
"I have no account, how do I open one?","['account', 'open', 'one']",Negative,1
I want to know if I can register more than one user account with a single email,"['want', 'know', 'regist', 'one', 'user', 'account', 'singl', 'email']",Neutral,1
"i dont have a user accolunt, create one","['dont', 'user', 'accolunt', 'creat', 'one']",Negative,1
tell me if I can create two online accounts with the same email,"['tell', 'creat', 'two', 'onlin', 'account', 'email']",Positive,5
can you tell me if I can register several accounts with a single email address?,"['tell', 'regist', 'sever', 'account', 'singl', 'email', 'address']",Neutral,1
I haven't got a profile,"['got', 'profil']",Positive,1
I want to nkow if I can register two accounts with the same email,"['want', 'nkow', 'regist', 'two', 'account', 'email']",Negative,1
can you tell me if I can create more than one user account with the same email?,"['tell', 'creat', 'one', 'user', 'account', 'email']",Neutral,1
"I don't have a user account, can I open one?","['user', 'account', 'open', 'one']",Negative,1
"i dont have a profile, can u create one?","['dont', 'profil', 'u', 'creat', 'one']",Negative,1
