utterance,Utterance Token,RNN Sentiment
"I don't have an online account, what do I have to do to register?","['onlin', 'account', 'regist']",Positive
can you tell me if i can regisger two accounts with a single email address?,"['tell', 'regisg', 'two', 'account', 'singl', 'email', 'address']",Neutral
"I have no online account, open one, please","['onlin', 'account', 'open', 'one', 'pleas']",Neutral
"could you ask an agent how to open an account, please?","['could', 'ask', 'agent', 'open', 'account', 'pleas']",Negative
"i want an online account, create one","['want', 'onlin', 'account', 'creat', 'one']",Neutral
"i want an account, i need help opening one","['want', 'account', 'need', 'help', 'open', 'one']",Negative
tell me if I can register  two online accounts with the same email,"['tell', 'regist', 'two', 'onlin', 'account', 'email']",Positive
i want to know if i could create two profiles with the same email address,"['want', 'know', 'could', 'creat', 'two', 'profil', 'email', 'address']",Neutral
can you tell me if i can create more than one fucking user account with the same email?,"['tell', 'creat', 'one', 'fuck', 'user', 'account', 'email']",Neutral
were to create an onlind account,"['creat', 'onlind', 'account']",Positive
i wanna know if i can create more than one user account with a single email address,"['wan', 'na', 'know', 'creat', 'one', 'user', 'account', 'singl', 'email', 'address']",Negative
can I create two online accounts with a single email?,"['creat', 'two', 'onlin', 'account', 'singl', 'email']",Positive
"I don't have a user account, how do I create one?","['user', 'account', 'creat', 'one']",Negative
"I have no user account, what do I have to do to create one?","['user', 'account', 'creat', 'one']",Negative
I want to know if I can own several accounts,"['want', 'know', 'sever', 'account']",Neutral
"I don't have a profile , can I creae one?","['profil', 'creae', 'one']",Positive
"I don't have an online account, I need help creating one","['onlin', 'account', 'need', 'help', 'creat', 'one']",Negative
I want to know if I can register several user accounts with the same email address,"['want', 'know', 'regist', 'sever', 'user', 'account', 'email', 'address']",Neutral
"I want an account, what do I have to do to open one?","['want', 'account', 'open', 'one']",Neutral
tell me if I could register two user accounts with a single email address,"['tell', 'could', 'regist', 'two', 'user', 'account', 'singl', 'email', 'address']",Negative
"I don't have a account, I need help opening one","['account', 'need', 'help', 'open', 'one']",Negative
"I haven't got a user account, can you register?","['got', 'user', 'account', 'regist']",Positive
I need a user account and I want to create one,"['need', 'user', 'account', 'want', 'creat', 'one']",Negative
"I need an online account, how can I open one?","['need', 'onlin', 'account', 'open', 'one']",Neutral
"I don't have a profile, how do I create one?","['profil', 'creat', 'one']",Negative
tell me if I can register two accounts with a single email address,"['tell', 'regist', 'two', 'account', 'singl', 'email', 'address']",Neutral
"I haven't got an online account, help me open one","['got', 'onlin', 'account', 'help', 'open', 'one']",Neutral
"ive got no online account, what can i do to register?","['ive', 'got', 'onlin', 'account', 'regist']",Positive
I want to know if I can register several profiles with the same email address,"['want', 'know', 'regist', 'sever', 'profil', 'email', 'address']",Neutral
i need help registering,"['need', 'help', 'regist']",Positive
i want to know if i can have several accounts,"['want', 'know', 'sever', 'account']",Neutral
"I need an account, I need help opening one","['need', 'account', 'need', 'help', 'open', 'one']",Negative
"i want to create an account, what do i have to do?","['want', 'creat', 'account']",Negative
"I'd like a user account, open one","['like', 'user', 'account', 'open', 'one']",Negative
"I want a user account , open one","['want', 'user', 'account', 'open', 'one']",Neutral
"I need an online account, what do I have to do?","['need', 'onlin', 'account']",Negative
I want to know if I can create more than one account with a single email,"['want', 'know', 'creat', 'one', 'account', 'singl', 'email']",Neutral
"I don't have a user account, register","['user', 'account', 'regist']",Positive
"I want to register, what do I have to do?","['want', 'regist']",Neutral
"I haven't got an online account, I need help opening one","['got', 'onlin', 'account', 'need', 'help', 'open', 'one']",Neutral
"I have no fucking account, I need help registering, please","['fuck', 'account', 'need', 'help', 'regist', 'pleas']",Negative
I want to know if I can register more than one user account with a single email address,"['want', 'know', 'regist', 'one', 'user', 'account', 'singl', 'email', 'address']",Neutral
I want to knoe if I can create two profiles with an single email address,"['want', 'knoe', 'creat', 'two', 'profil', 'singl', 'email', 'address']",Neutral
can I own more than one account?,"['one', 'account']",Positive
"i want a profile, what should i do?","['want', 'profil']",Neutral
"I need an online account, what should I do to create one?","['need', 'onlin', 'account', 'creat', 'one']",Neutral
"i dont have a account, i need help opening one","['dont', 'account', 'need', 'help', 'open', 'one']",Negative
"I want a profille, how can I create one?","['want', 'profil', 'creat', 'one']",Negative
how can I open an online account?,"['open', 'onlin', 'account']",Negative
ask an agent how i could create a user account,"['ask', 'agent', 'could', 'creat', 'user', 'account']",Positive
"i dont have an online account, what can i do?","['dont', 'onlin', 'account']",Positive
can i register?,['regist'],Positive
"i have no account, what do i have to do?",['account'],Positive
i watn to know if i can register two profiles with the same email address,"['watn', 'know', 'regist', 'two', 'profil', 'email', 'address']",Positive
how can I create an online account?,"['creat', 'onlin', 'account']",Positive
"please, i want to know if i could create more than one profile with a single email address","['pleas', 'want', 'know', 'could', 'creat', 'one', 'profil', 'singl', 'email', 'address']",Negative
"I've got no profile, how can I create one?","['got', 'profil', 'creat', 'one']",Neutral
"I would like a fucking user account , how can I open one?","['would', 'like', 'fuck', 'user', 'account', 'open', 'one']",Negative
"I have no account, can ylu help me?","['account', 'ylu', 'help']",Positive
I want to know if I can create more than one account with the same email address,"['want', 'know', 'creat', 'one', 'account', 'email', 'address']",Negative
"I haven't got an account, what can I do to open one?","['got', 'account', 'open', 'one']",Neutral
i want to know if i can create two accounts with a single email address,"['want', 'know', 'creat', 'two', 'account', 'singl', 'email', 'address']",Neutral
"I want an account, create one","['want', 'account', 'creat', 'one']",Negative
"i want an account, can u create one?","['want', 'account', 'u', 'creat', 'one']",Neutral
"I haven't got an account, can I create one?","['got', 'account', 'creat', 'one']",Neutral
"I haven't got an account, can you open one?","['got', 'account', 'open', 'one']",Neutral
"I don't have a user account, I need help opening one","['user', 'account', 'need', 'help', 'open', 'one']",Negative
"I've got no account , can I register?","['got', 'account', 'regist']",Positive
"I want to create an online account, what can I do?","['want', 'creat', 'onlin', 'account']",Positive
I want to know if I can create more than one online account with a single email address,"['want', 'know', 'creat', 'one', 'onlin', 'account', 'singl', 'email', 'address']",Negative
"I haven't got a user account, can you help me?","['got', 'user', 'account', 'help']",Positive
"I have no account, create one","['account', 'creat', 'one']",Negative
"I don't have an online account, what do I have to do?","['onlin', 'account']",Positive
can i own more than one online account?,"['one', 'onlin', 'account']",Positive
I want to know if I can register two accounts with a single email address,"['want', 'know', 'regist', 'two', 'account', 'singl', 'email', 'address']",Neutral
"i have no account, what should i do to open one?","['account', 'open', 'one']",Negative
"I have no user account , what do I have to do to open one?","['user', 'account', 'open', 'one']",Negative
can i have more than one online account?,"['one', 'onlin', 'account']",Positive
i wanna know if i can create two online accounts with a single email address,"['wan', 'na', 'know', 'creat', 'two', 'onlin', 'account', 'singl', 'email', 'address']",Positive
"I want a user account, how can I open one?","['want', 'user', 'account', 'open', 'one']",Neutral
can you tell me if I can register several accounts with a single email?,"['tell', 'regist', 'sever', 'account', 'singl', 'email']",Neutral
I want to open a user account,"['want', 'open', 'user', 'account']",Neutral
"please, i want to know if i can create two user accounts with the same email","['pleas', 'want', 'know', 'creat', 'two', 'user', 'account', 'email']",Positive
"I haven't got auser account, help me open one","['got', 'auser', 'account', 'help', 'open', 'one']",Neutral
"i dont have a user account and i want to open one, please","['dont', 'user', 'account', 'want', 'open', 'one', 'pleas']",Negative
i wanna know if i can register more than oneuser account with the same email,"['wan', 'na', 'know', 'regist', 'oneus', 'account', 'email']",Positive
"I have no account, how do I open one?","['account', 'open', 'one']",Negative
I want to know if I can register more than one user account with a single email,"['want', 'know', 'regist', 'one', 'user', 'account', 'singl', 'email']",Neutral
"i dont have a user accolunt, create one","['dont', 'user', 'accolunt', 'creat', 'one']",Negative
tell me if I can create two online accounts with the same email,"['tell', 'creat', 'two', 'onlin', 'account', 'email']",Positive
can you tell me if I can register several accounts with a single email address?,"['tell', 'regist', 'sever', 'account', 'singl', 'email', 'address']",Neutral
I haven't got a profile,"['got', 'profil']",Positive
I want to nkow if I can register two accounts with the same email,"['want', 'nkow', 'regist', 'two', 'account', 'email']",Negative
can you tell me if I can create more than one user account with the same email?,"['tell', 'creat', 'one', 'user', 'account', 'email']",Neutral
"I don't have a user account, can I open one?","['user', 'account', 'open', 'one']",Negative
"i dont have a profile, can u create one?","['dont', 'profil', 'u', 'creat', 'one']",Negative
I want to know if I can have several accounts,"['want', 'know', 'sever', 'account']",Neutral
"I haven't got an online account, can you register?","['got', 'onlin', 'account', 'regist']",Positive
"can you tell me if I could create two accounts with a single email, please?","['tell', 'could', 'creat', 'two', 'account', 'singl', 'email', 'pleas']",Negative
I need an account and I want to open one,"['need', 'account', 'want', 'open', 'one']",Negative
"I've got no account, can I create one?","['got', 'account', 'creat', 'one']",Neutral
"I've got no account,  what can I do to register?","['got', 'account', 'regist']",Positive
"I want a user account and I would like to open one, please","['want', 'user', 'account', 'would', 'like', 'open', 'one', 'pleas']",Negative
can you tell me if I can create several online accounts with a single email address?,"['tell', 'creat', 'sever', 'onlin', 'account', 'singl', 'email', 'address']",Positive
"i want an account, what can i do?","['want', 'account']",Neutral
i wanna know if i can register more than one account with a single email address,"['wan', 'na', 'know', 'regist', 'one', 'account', 'singl', 'email', 'address']",Positive
tell me if I can create more than one online account with a single email address,"['tell', 'creat', 'one', 'onlin', 'account', 'singl', 'email', 'address']",Positive
where odl i register?,"['odl', 'regist']",Positive
I need help opening an online account,"['need', 'help', 'open', 'onlin', 'account']",Negative
i want to create an account,"['want', 'creat', 'account']",Negative
"I don't have a user account, what can I do to open one?","['user', 'account', 'open', 'one']",Negative
"can you tell me if I could create two user accounts with a single email, please?","['tell', 'could', 'creat', 'two', 'user', 'account', 'singl', 'email', 'pleas']",Negative
I want to know if I can create several profiles with a single email address,"['want', 'know', 'creat', 'sever', 'profil', 'singl', 'email', 'address']",Neutral
"i havent got a user account, what should i do to register?","['havent', 'got', 'user', 'account', 'regist']",Positive
ask an agent where I could open a user account,"['ask', 'agent', 'could', 'open', 'user', 'account']",Positive
"I want an account, what do I have to do?","['want', 'account']",Neutral
I want to know if I can register more than one online account with a single email,"['want', 'know', 'regist', 'one', 'onlin', 'account', 'singl', 'email']",Positive
"I need a user account, what canI do t create one?","['need', 'user', 'account', 'cani', 'creat', 'one']",Negative
"I have no online account, how can I create one?","['onlin', 'account', 'creat', 'one']",Neutral
"i need a user account, how do i create one?","['need', 'user', 'account', 'creat', 'one']",Negative
can I own more than one profile?,"['one', 'profil']",Positive
"I want an online account, can you open one?","['want', 'onlin', 'account', 'open', 'one']",Neutral
"I don't have a profile, help me create one","['profil', 'help', 'creat', 'one']",Negative
"I haven't got an online account, can you create one?","['got', 'onlin', 'account', 'creat', 'one']",Positive
tell me if I can create two user accounts with a single email,"['tell', 'creat', 'two', 'user', 'account', 'singl', 'email']",Neutral
"I haven't got an online account, what should I do?","['got', 'onlin', 'account']",Positive
can you tell me if i can create several profiles with the same email address?,"['tell', 'creat', 'sever', 'profil', 'email', 'address']",Neutral
"i  want to know if i can register two user accounts with the same email address, please","['want', 'know', 'regist', 'two', 'user', 'account', 'email', 'address', 'pleas']",Neutral
"i havent got a fucking profile, help me create one","['havent', 'got', 'fuck', 'profil', 'help', 'creat', 'one']",Neutral
"i need an account, what can i do?","['need', 'account']",Negative
"I haven't got an online account, what do I have to do to create one?","['got', 'onlin', 'account', 'creat', 'one']",Positive
"I don't have an account, what should I do to register?","['account', 'regist']",Positive
"I want an account, can you create one ?","['want', 'account', 'creat', 'one']",Negative
"I need an online account, help me open one","['need', 'onlin', 'account', 'help', 'open', 'one']",Neutral
"I don't have an online account, open one","['onlin', 'account', 'open', 'one']",Neutral
I need an online accoung and I want to creaet one,"['need', 'onlin', 'accoung', 'want', 'creaet', 'one']",Positive
"I want to open an account, what do I have to do?","['want', 'open', 'account']",Neutral
tell me if I can register more than one profile with the same email,"['tell', 'regist', 'one', 'profil', 'email']",Positive
"I have no account, how do I creage one?","['account', 'creag', 'one']",Positive
"I haven't got an account, can I register?","['got', 'account', 'regist']",Positive
"I want to opem an online account, what can I do?","['want', 'opem', 'onlin', 'account']",Positive
"please, tell me if I could create more than one account with a single email","['pleas', 'tell', 'could', 'creat', 'one', 'account', 'singl', 'email']",Neutral
"I need a profile, how can I create one?","['need', 'profil', 'creat', 'one']",Negative
"I need a profile, what o I have to do to create one?","['need', 'profil', 'creat', 'one']",Negative
"I don't have an account, what can I do to create one?","['account', 'creat', 'one']",Negative
could you tell me if i oculd have several online accounts?,"['could', 'tell', 'oculd', 'sever', 'onlin', 'account']",Positive
how can I create a user account?,"['creat', 'user', 'account']",Positive
can you tell me if I can create more than one user account with a single email address?,"['tell', 'creat', 'one', 'user', 'account', 'singl', 'email', 'address']",Neutral
i havent got an online account and i want to create one,"['havent', 'got', 'onlin', 'account', 'want', 'creat', 'one']",Positive
I need an account,"['need', 'account']",Negative
I don't have a profile and I want to create one,"['profil', 'want', 'creat', 'one']",Negative
"i want to open an online account, what can i do?","['want', 'open', 'onlin', 'account']",Negative
"I wantto open a use account, what do I have to do?","['wantto', 'open', 'use', 'account']",Neutral
"I've got no fucking user account, can you open one?","['got', 'fuck', 'user', 'account', 'open', 'one']",Neutral
i want to know if i can register several accounts with the same email address,"['want', 'know', 'regist', 'sever', 'account', 'email', 'address']",Neutral
"I need a user account, help me create one","['need', 'user', 'account', 'help', 'creat', 'one']",Neutral
"i have no fucking user account, can u open one, please?","['fuck', 'user', 'account', 'u', 'open', 'one', 'pleas']",Negative
"please, I want to know if I an create two accounts with the same email","['pleas', 'want', 'know', 'creat', 'two', 'account', 'email']",Positive
"I have no profile, can you create one?","['profil', 'creat', 'one']",Negative
"i want to know if i can register several fucking online accounts with a single email address, please","['want', 'know', 'regist', 'sever', 'fuck', 'onlin', 'account', 'singl', 'email', 'address', 'pleas']",Neutral
"I haven't got a user account, how do I open one?","['got', 'user', 'account', 'open', 'one']",Neutral
"I do not have a fucking account, what do I have to do to register?","['fuck', 'account', 'regist']",Positive
"I haven't got a profile, I need help creating one","['got', 'profil', 'need', 'help', 'creat', 'one']",Negative
I don't have a user account and I want to create one,"['user', 'account', 'want', 'creat', 'one']",Negative
ive got no online account and i wanna create one,"['ive', 'got', 'onlin', 'account', 'wan', 'na', 'creat', 'one']",Positive
"tell me if I can create several fucking online accounts with a single email address, please","['tell', 'creat', 'sever', 'fuck', 'onlin', 'account', 'singl', 'email', 'address', 'pleas']",Positive
can you tell me if I can create more than one profile with the same email?,"['tell', 'creat', 'one', 'profil', 'email']",Neutral
can you tell me if I can register several online accounts with the same email?,"['tell', 'regist', 'sever', 'onlin', 'account', 'email']",Positive
"I don't have a user account, open one","['user', 'account', 'open', 'one']",Negative
"I need a user account, what should I do to open one?","['need', 'user', 'account', 'open', 'one']",Negative
"I haven't got an account, help me open one","['got', 'account', 'help', 'open', 'one']",Neutral
"I need an online account, help me createone","['need', 'onlin', 'account', 'help', 'createon']",Negative
"I have no account, what can I do to create one?","['account', 'creat', 'one']",Negative
ask an agent to create a profile,"['ask', 'agent', 'creat', 'profil']",Negative
"I've got no account, how do I register?","['got', 'account', 'regist']",Positive
"I've got no online account, could you open one, please?","['got', 'onlin', 'account', 'could', 'open', 'one', 'pleas']",Neutral
"I have no user account, what cvan I do to register?","['user', 'account', 'cvan', 'regist']",Positive
could you tell me if I can regitser more than one fucking account with the same email address?,"['could', 'tell', 'regits', 'one', 'fuck', 'account', 'email', 'address']",Neutral
"I've got no online account, open one","['got', 'onlin', 'account', 'open', 'one']",Neutral
can you tell me if i can register more than one account with the same email address?,"['tell', 'regist', 'one', 'account', 'email', 'address']",Negative
can I create several profiles with the same email address?,"['creat', 'sever', 'profil', 'email', 'address']",Negative
can i register two accounts with a single email?,"['regist', 'two', 'account', 'singl', 'email']",Negative
"I don't have a user account, how do I open one?","['user', 'account', 'open', 'one']",Negative
"I have no account, open one","['account', 'open', 'one']",Negative
"I don't have an online account, help me open one","['onlin', 'account', 'help', 'open', 'one']",Neutral
tell me if I can register several profiles with the same email,"['tell', 'regist', 'sever', 'profil', 'email']",Negative
tell me if I can rehister two profiles with the same email,"['tell', 'rehist', 'two', 'profil', 'email']",Negative
"i havent got a suer account, what do i haveto do?","['havent', 'got', 'suer', 'account', 'haveto']",Positive
can I create two accounts with the same email?,"['creat', 'two', 'account', 'email']",Negative
"i want to create a user account, what can i do?","['want', 'creat', 'user', 'account']",Negative
where to open an account,"['open', 'account']",Neutral
"I want to create a profile, what can I do?","['want', 'creat', 'profil']",Negative
"I would like to open a user account, what do I have to do?","['would', 'like', 'open', 'user', 'account']",Negative
where can i create an account?,"['creat', 'account']",Positive
how can I register?,['regist'],Positive
"I've got no profile, can I create one?","['got', 'profil', 'creat', 'one']",Neutral
i want to know if i could register several accounts with a single email address,"['want', 'know', 'could', 'regist', 'sever', 'account', 'singl', 'email', 'address']",Neutral
I don't have a user account and I want to open one,"['user', 'account', 'want', 'open', 'one']",Negative
ask an agent where i can create an account,"['ask', 'agent', 'creat', 'account']",Positive
"can you tell me if i could create two online accounts with the same email, please?","['tell', 'could', 'creat', 'two', 'onlin', 'account', 'email', 'pleas']",Positive
"I do not have an account, help me register","['account', 'help', 'regist']",Positive
"I've got no user account, create one","['got', 'user', 'account', 'creat', 'one']",Neutral
"I haev no profile, could I create one?","['haev', 'profil', 'could', 'creat', 'one']",Negative
tell me if I can register more than one user account with a single email,"['tell', 'regist', 'one', 'user', 'account', 'singl', 'email']",Neutral
can i create two online accounts with the same email?,"['creat', 'two', 'onlin', 'account', 'email']",Positive
"please, ask an agent where i could create a fucking profile","['pleas', 'ask', 'agent', 'could', 'creat', 'fuck', 'profil']",Positive
ask an agent how i can create an account,"['ask', 'agent', 'creat', 'account']",Positive
"I don't have a user account, how dp I register?","['user', 'account', 'dp', 'regist']",Positive
i want to know if i can create several profiles with the same email,"['want', 'know', 'creat', 'sever', 'profil', 'email']",Neutral
"I have no online account, can I open one?","['onlin', 'account', 'open', 'one']",Neutral
"I have no online account, register","['onlin', 'account', 'regist']",Positive
can I create two online accounts with the same email?,"['creat', 'two', 'onlin', 'account', 'email']",Positive
i need help creating an online account,"['need', 'help', 'creat', 'onlin', 'account']",Positive
"please , I want to know if I can create two fucking online accounts eith a single email address","['pleas', 'want', 'know', 'creat', 'two', 'fuck', 'onlin', 'account', 'eith', 'singl', 'email', 'address']",Positive
"ive got no user account, register","['ive', 'got', 'user', 'account', 'regist']",Positive
"I don't have an online account, can you help me?","['onlin', 'account', 'help']",Negative
"I haven't got a user account, what should I do?","['got', 'user', 'account']",Positive
"could you tell me if i could register several online accounts with a single email address, please?","['could', 'tell', 'could', 'regist', 'sever', 'onlin', 'account', 'singl', 'email', 'address', 'pleas']",Positive
i wanna knwo if i can create more than one account with the same email address,"['wan', 'na', 'knwo', 'creat', 'one', 'account', 'email', 'address']",Negative
"please, could you tell me if I could create more than one fucking account with the same email address?","['pleas', 'could', 'tell', 'could', 'creat', 'one', 'fuck', 'account', 'email', 'address']",Neutral
"I don't have an online account, I need help opening one","['onlin', 'account', 'need', 'help', 'open', 'one']",Negative
"I want an account, can I open one?","['want', 'account', 'open', 'one']",Neutral
i wanna know if i can register two accounts with the same email,"['wan', 'na', 'know', 'regist', 'two', 'account', 'email']",Negative
I want to know if I can register several online accounts with the same email address,"['want', 'know', 'regist', 'sever', 'onlin', 'account', 'email', 'address']",Positive
"I haven't got an online account, what do I have to do to register?","['got', 'onlin', 'account', 'regist']",Positive
"i want to create an account, what should i do?","['want', 'creat', 'account']",Negative
"I want a profile, what can I do?","['want', 'profil']",Neutral
tell me if I can create several accounts with the same email address,"['tell', 'creat', 'sever', 'account', 'email', 'address']",Neutral
"I'd like a fucking online account, how could I open one?","['like', 'fuck', 'onlin', 'account', 'could', 'open', 'one']",Negative
