Review Token,True Rating,RNN Rating
"['saw', 'dress', 'catalog', 'immedi', 'ran', 'store', 'purchas', 'realiz', 'dress', 'catalog', 'slightli', 'differ', 'small', 'differ', 'make', 'catalog', 'dress', 'much', 'uniqu', 'worth', 'money', 'look', 'top', 'stripe', 'color', 'differ', 'stripe', 'flow', 'differ', 'skirt', 'part', 'well', 'dress', 'short', 'two', 'inch', 'shorter', 'model', 'bummer']",1,1
"['love', 'green', 'color', 'cut', 'super', 'flatter', 'ala', 'need', 'hte', 'petit', 'ti', 'bit', 'long', 'look', 'littl', 'lost', 'unfrotuant', 'color', 'sold', 'petit']",5,4
"['top', 'beauti', 'beauti', 'keep', 'even', 'though', 'littl', 'bit', 'larg', 'drapey', 'fabric', 'golden', 'glow', 'detail', 'back', 'darl', 'perfect', 'romant', 'dinner']",4,4
"['woah', 'jean', 'look', 'ridicul', 'felt', 'though', 'raid', 'mom', 'closet', 'combin', 'light', 'wash', 'crop', 'leg', 'high', 'waist', 'odd', 'stitch', 'around', 'midsect', 'make', 'realli', 'accentu', 'pouch', 'may', 'look', 'high', 'waist', 'denim', 'unflatt', 'curvi']",2,2
"['dress', 'beauti', 'model', 'person', 'sheer', 'could', 'dealt', 'fit', 'great', 'petit', 'short', 'regular', 'long', 'boxi', 'seem', 'run', 'big', 'even', 'size', 'small', 'petit', 'regular', 'big', 'usual', 'cloth', 'stone', 'size', 'small', 'perfect', 'realli', 'want', 'love', 'dress', 'end', 'return', 'sever', 'size', 'attempt', 'find', 'perfect', 'size']",1,1
"['unfortun', 'top', 'shirtlength', 'need', 'longer', 'made', 'sweatshirt', 'materi', 'would', 'mind', 'longer', 'also', 'run', 'wide', 'order', 'xs', 'could', 'gone', 'smaller']",1,1
"['run', 'realli', 'larg', 'love', 'sold', 'xs', 'p', 'xx', 'p', 'go', 'figur', 'size', 'slim']",3,3
"['petit', 'big', 'bust', 'woman', 'found', 'dress', 'wildli', 'unflatt', 'qualiti', 'pattern', 'dress', 'beauti', 'though', 'requir', 'slip', 'complet', 'transpar', 'design', 'bust', 'howev', 'found', 'unflatt']",3,3
"['love', 'dress', 'although', 'dart', 'terribl', 'color', 'much', 'richer', 'person', 'beauti', 'dress', 'event', 'nice', 'weight', 'feel', 'flimsi', 'sinc', 'line', 'realli', 'love', 'length', 'sleev', 'swish', 'skirt', 'howev', 'dart', 'make', 'bust', 'two', 'littl', 'triangl', 'realli', 'wish', 'could', 'reseam', 'dart', 'bit', 'strang', 'look']",4,4
"['excit', 'receiv', 'dress', 'even', 'embroid', 'loop', 'hem', 'slip', 'underneath', 'cute', 'detail', 'pretti', 'said', 'order', 'size', 'fit', 'perfectli', 'lb', 'ladi', 'mean', 'way', 'person', 'opinion', 'arm', 'shape', 'tone', 'flabbi', 'sleev', 'dress', 'justic', 'make', 'arm', 'look', 'wors', 'shape', 'sleev', 'keep', 'consider']",5,5
"['guess', 'short', 'pull', 'dress', 'color', 'pretti', 'summer', 'much', 'fabric', 'felt', 'like', 'wear', 'giant', 'doili', 'howev', 'doubt', 'mind', 'taller', 'girl', 'would', 'look', 'fabul']",2,2
"['top', 'line', 'well', 'made', 'sale', 'boot', 'love', 'style', 'receiv', 'compliment', 'sister', 'wore', 'love', 'layer', 'look']",5,5
"['bottom', 'look', 'like', 'tutu', 'first', 'high', 'toler', 'scratchi', 'fabric', 'one', 'could', 'feel', 'even', 'long', 'sleev', 'way', 'could', 'wear', 'someth', 'make', 'skin', 'itch', 'badli', 'second', 'peplum', 'part', 'huge', 'look', 'like', 'exagger', 'skirt', 'final', 'color', 'green', 'one', 'darker', 'pictur', 'green', 'blue', 'tint', 'back', 'goe']",1,1
"['suit', 'high', 'qualiti', 'cute', 'design', 'howev', 'clearli', 'made', 'lean', 'bodi', 'type']",1,1
"['intric', 'delic', 'beauti', 'dress', 'seen', 'long', 'time', 'pale', 'blue', 'copperi', 'brown', 'dark', 'purpl', 'tone', 'complimentari', 'fair', 'skin', 'dark', 'hair', 'light', 'eye', 'unfortun', 'normal', 'size', 'far', 'snug', 'especi', 'hip', 'sold', 'fabric', 'give', 'would', 'say', 'curv', 'size', 'find', 'beauti', 'heartbroken', 'return']",5,4
"['dress', 'cute', 'uniqu', 'got', 'mani', 'compliment', 'wore', 'event', 'recent', 'know', 'great', 'summer', 'dress', 'definit', 'run', 'small', 'short', 'usual', 'need', 'dress']",4,4
"['fit', 'nice', 'love', 'asymmetr', 'flower', 'design', 'somewhat', 'sheerse', 'put', 'tank', 'underneath']",4,4
"['style', 'realli', 'cute', 'fit', 'huge', 'order', 'xs', 'think', 'go', 'xx', 'would', 'help', 'end', 'return']",2,2
"['love', 'good', 'peplum', 'top', 'excit', 'arriv', 'sad', 'find', 'flare', 'peplum', 'littl', 'much', 'sure', 'unflatt', 'everi', 'way', 'fit', 'like', 'dream', 'seem', 'like', 'either', 'much', 'littl', 'fabric', 'around', 'waist', 'hang', 'properli', 'go', 'back']",3,3
"['want', 'love', 'shirt', 'got', 'thicker', 'materi', 'flatter', 'shape', 'uniqu', 'basic', 'top', 'howev', 'put', 'look', 'like', 'illfit', 'chest', 'think', 'pull', 'chest', 'would', 'much', 'better']",3,3
"['fabric', 'skirt', 'absolut', 'beauti', 'howev', 'fit', 'albeit', 'uniqu', 'extrem', 'flatter', 'opinion', 'may', 'somewhat', 'pearhourglass', 'shape', 'rather', 'straight', 'shape', 'fit', 'littl', 'imo', 'order', 'felt', 'fit', 'littl', 'better']",3,3
"['tri', 'store', 'yesterday', 'buy', 'due', 'dolman', 'style', 'sleev', 'scratchi', 'lace', 'dolman', 'sleev', 'look', 'terribl', 'go', 'bewar', 'scratchi', 'lace', 'minut', 'itch', 'otherwis', 'wok', 'plenti', 'peopl', 'color', 'nice', 'neutral', 'run', 'larg', 'usual', 'wear', 'larg', 'size', 'medium', 'work', 'sure', 'find', 'nice', 'part', 'wardrob']",4,4
"['love', 'jean', 'comfort', 'high', 'waist', 'great', 'long', 'torso', 'real', 'denim', 'thin', 'stretchi', 'leg', 'type', 'jean', 'fit', 'true', 'size', 'pound', 'wear', 'littl', 'long', 'chop', 'hit', 'ankl']",4,5
"['realli', 'disappoint', 'shirt', 'blue', 'embroideri', 'lot', 'darker', 'shown', 'photo', 'bare', 'stand', 'black', 'photo', 'accur', 'depict', 'shirt', 'return']",1,1
"['dress', 'beauti', 'flowi', 'flatter', 'color', 'vibrant', 'slip', 'tighter', 'dress', 'mind', 'half', 'slip', 'bottom', 'sheer', 'normal', 'dress', 'fit', 'well', 'length', 'good', 'height']",4,4
"['xs', 'larg', 'tini', 'person', 'dress', 'beauti', 'model', 'person', 'way', 'much', 'fabric', 'fit', 'rather', 'tentlik', 'fabric', 'gorgeou', 'dress', 'would', 'work', 'fit', 'style', 'half', 'amount', 'fabric', 'bottom', 'flatter']",2,2
"['pant', 'wonder', 'season', 'ye', 'almost', 'pop', 'even', 'last', 'full', 'year', 'love', 'much', 'bit', 'bullet', 'bought', 'pair', 'start', 'rip', 'spot', 'tri', 'contact', 'ag', 'directli', 'back', 'product', 'day', 'fortun', 'retail', 'wonder', 'alway', 'buy', 'pilcro', 'much', 'better', 'product', 'money']",1,1
"['found', 'hard', 'pair', 'bottom', 'fit', 'flatter']",3,3
"['realli', 'want', 'love', 'sweater', 'howev', 'fell', 'much', 'shorter', 'frame', 'fall', 'model', 'belli', 'button', 'hip', 'sleev', 'end', 'elbow', 'much', 'volumin', 'appear', 'product', 'shot', 'long', 'monkey', 'arm', 'though', 'someon', 'petit', 'would', 'probabl', 'fit', 'like', 'model', 'shot', 'qualiti', 'knit', 'seem', 'nice', 'howev', 'zipper', 'use', 'slim', 'light', 'weight', 'got', 'stuck', 'twice', 'tri']",2,2
"['cute', 'dress', 'swingi', 'chock', 'full', 'fun', 'littl', 'detail', 'love', 'embroideri', 'color', 'crochet', 'lace', 'tassel', 'wide', 'sleev', 'like', 'polyest', 'embroideri', 'unravel', 'know', 'size', 'petit', 'slender', 'medlarg', 'medium', 'fit', 'great', 'bodiceshould', 'hem', 'hit', 'knee', 'regular', 'size']",4,4
"['top', 'arriv', 'tri', 'great', 'length', 'perfect', 'even', 'though', 'curvi', 'one', 'wash', 'done', 'accord', 'direct', 'top', 'shrank', 'length', 'consider', 'mind', 'pay', 'higher', 'price', 'someth', 'uniqu', 'someth', 'qualiti', 'problem', 'someth', 'hold', 'basic', 'use', 'return', 'item']",1,1
"['love', 'dress', 'color', 'smidgen', 'darker', 'photo', 'show', 'like', 'even', 'better', 'super', 'comfort', 'nice', 'flow', 'great', 'fit', 'definit', 'favorit', 'mine', 'summer']",5,5
"['seafolli', 'garden', 'suit', 'last', 'year', 'cut', 'love', 'decid', 'light', 'blue', 'color', 'look', 'great', 'decid', 'get', 'one', 'found', 'garden', 'suit', 'cut', 'smaller', 'umbrella', 'print', 'one', 'right', 'got', 'like', 'last', 'time', 'probabl', 'could', 'gotten', 'keep', 'comfort', 'note', 'leg', 'hole', 'tight', 'make', 'upper', 'thighsbutt', 'squish', 'like', 'might', 'imagin', 'tri', 'suit']",5,3
"['bummer', 'love', 'laci', 'bell', 'arm', 'everyth', 'look', 'sweater', 'huge', 'abdomen', 'serious', 'look', 'matern', 'neck', 'also', 'wide', 'qualiti', 'materi', 'nice', 'weight', 'nice', 'heavi', 'cut', 'work', 'return', 'one']",1,1
