Preprocessed Review Text,Review Token,True Sentiment,FCNN Sentiment,RNN Sentiment
order top onlin love color design listen review order usual size unflatt short wide like pictur model needless say immedi ship back,"['order', 'top', 'onlin', 'love', 'color', 'design', 'listen', 'review', 'order', 'usual', 'size', 'unflatt', 'short', 'wide', 'like', 'pictur', 'model', 'needless', 'say', 'immedi', 'ship', 'back']",Negative,Negative,Negative
maev great materi vivid color amaz fit tri dress week ago purchas saw sale could get store quick enough ladi bottom heavi like dress make look awesom,"['maev', 'great', 'materi', 'vivid', 'color', 'amaz', 'fit', 'tri', 'dress', 'week', 'ago', 'purchas', 'saw', 'sale', 'could', 'get', 'store', 'quick', 'enough', 'ladi', 'bottom', 'heavi', 'like', 'dress', 'make', 'look', 'awesom']",Positive,Positive,Positive
origin purchas dress petit bust petit bit tight return went size happi dress drape flow beauti find immens flatter hourglass figur also ador floral print one review object way bodic drape small hook closur seem insuffici object characterist fit beauti throughout bodic,"['origin', 'purchas', 'dress', 'petit', 'bust', 'petit', 'bit', 'tight', 'return', 'went', 'size', 'happi', 'dress', 'drape', 'flow', 'beauti', 'find', 'immens', 'flatter', 'hourglass', 'figur', 'also', 'ador', 'floral', 'print', 'one', 'review', 'object', 'way', 'bodic', 'drape', 'small', 'hook', 'closur', 'seem', 'insuffici', 'object', 'characterist', 'fit', 'beauti', 'throughout', 'bodic']",Positive,Positive,Positive
absolut gorgeou poorli fit blous bottom part way billowi inconsist fit top half got sale still return,"['absolut', 'gorgeou', 'poorli', 'fit', 'blous', 'bottom', 'part', 'way', 'billowi', 'inconsist', 'fit', 'top', 'half', 'got', 'sale', 'still', 'return']",Negative,Negative,Negative
color darker shown order denim look one flower thing visibl look one color must great tall skinni model pear shape like go took back local store,"['color', 'darker', 'shown', 'order', 'denim', 'look', 'one', 'flower', 'thing', 'visibl', 'look', 'one', 'color', 'must', 'great', 'tall', 'skinni', 'model', 'pear', 'shape', 'like', 'go', 'took', 'back', 'local', 'store']",Negative,Negative,Negative
order onlin vest love took chanc super comfi great qualiti jacket sleev kind knit materi make realli cozi constrict color order green perfect ultim return jacket thought lapel wide like look exactli like pictur mind probabl happi jacket end,"['order', 'onlin', 'vest', 'love', 'took', 'chanc', 'super', 'comfi', 'great', 'qualiti', 'jacket', 'sleev', 'kind', 'knit', 'materi', 'make', 'realli', 'cozi', 'constrict', 'color', 'order', 'green', 'perfect', 'ultim', 'return', 'jacket', 'thought', 'lapel', 'wide', 'like', 'look', 'exactli', 'like', 'pictur', 'mind', 'probabl', 'happi', 'jacket', 'end']",Positive,Positive,Neutral
base previou review size size typic wear xs length okay bodi way wide neck almost like mock neck higher expect made uncomfort overal find flatter anyth special,"['base', 'previou', 'review', 'size', 'size', 'typic', 'wear', 'xs', 'length', 'okay', 'bodi', 'way', 'wide', 'neck', 'almost', 'like', 'mock', 'neck', 'higher', 'expect', 'made', 'uncomfort', 'overal', 'find', 'flatter', 'anyth', 'special']",Neutral,Neutral,Neutral
want love top order blue blue orang thought orang would brighter dull color also usual medium top fit fine shouldersbust huge around waist make look lot larger top bit smaller around waist would keep go back,"['want', 'love', 'top', 'order', 'blue', 'blue', 'orang', 'thought', 'orang', 'would', 'brighter', 'dull', 'color', 'also', 'usual', 'medium', 'top', 'fit', 'fine', 'shouldersbust', 'huge', 'around', 'waist', 'make', 'look', 'lot', 'larger', 'top', 'bit', 'smaller', 'around', 'waist', 'would', 'keep', 'go', 'back']",Negative,Negative,Negative
purchas end sit closet coupl week bought green felt noth enhanc figur kind bore design like cowl neck rare tunic sleev detail color seem go well standard black leg overal unimpress,"['purchas', 'end', 'sit', 'closet', 'coupl', 'week', 'bought', 'green', 'felt', 'noth', 'enhanc', 'figur', 'kind', 'bore', 'design', 'like', 'cowl', 'neck', 'rare', 'tunic', 'sleev', 'detail', 'color', 'seem', 'go', 'well', 'standard', 'black', 'leg', 'overal', 'unimpress']",Neutral,Neutral,Neutral
bought three tee kept turquois one though color pretti littl drab bad love fabric soft one wore super comfi sleev cute without dramat like ruffl sleev tee sleev kind ridicul con color pretti drab normal look better vibrant color red bought made look like corps pretti ca,"['bought', 'three', 'tee', 'kept', 'turquois', 'one', 'though', 'color', 'pretti', 'littl', 'drab', 'bad', 'love', 'fabric', 'soft', 'one', 'wore', 'super', 'comfi', 'sleev', 'cute', 'without', 'dramat', 'like', 'ruffl', 'sleev', 'tee', 'sleev', 'kind', 'ridicul', 'con', 'color', 'pretti', 'drab', 'normal', 'look', 'better', 'vibrant', 'color', 'red', 'bought', 'made', 'look', 'like', 'corps', 'pretti', 'ca']",Neutral,Neutral,Neutral
love blous normal size even come close fit think would go size bad caus beauti top good us busti girl though,"['love', 'blous', 'normal', 'size', 'even', 'come', 'close', 'fit', 'think', 'would', 'go', 'size', 'bad', 'caus', 'beauti', 'top', 'good', 'us', 'busti', 'girl', 'though']",Neutral,Neutral,Neutral
fabric clung bodi expect flow breezi flimsi arm wide overal dress cut mustard dress long enough flow well,"['fabric', 'clung', 'bodi', 'expect', 'flow', 'breezi', 'flimsi', 'arm', 'wide', 'overal', 'dress', 'cut', 'mustard', 'dress', 'long', 'enough', 'flow', 'well']",Negative,Negative,Negative
excit see top person got close look also tri disappoint first color much persimmon orangey person hard color pull lot peopl pull pink red skin highlight second top poorli finish pick two tri lace wonki across front first one grab much lace pucker,"['excit', 'see', 'top', 'person', 'got', 'close', 'look', 'also', 'tri', 'disappoint', 'first', 'color', 'much', 'persimmon', 'orangey', 'person', 'hard', 'color', 'pull', 'lot', 'peopl', 'pull', 'pink', 'red', 'skin', 'highlight', 'second', 'top', 'poorli', 'finish', 'pick', 'two', 'tri', 'lace', 'wonki', 'across', 'front', 'first', 'one', 'grab', 'much', 'lace', 'pucker']",Neutral,Neutral,Neutral
saw dress onlin thought perfectli cute howev tri home work one button broke half tri unbutton got dress small cuff cut circul forearm lb purchas size even tri button way took back even think want larger size button fragil,"['saw', 'dress', 'onlin', 'thought', 'perfectli', 'cute', 'howev', 'tri', 'home', 'work', 'one', 'button', 'broke', 'half', 'tri', 'unbutton', 'got', 'dress', 'small', 'cuff', 'cut', 'circul', 'forearm', 'lb', 'purchas', 'size', 'even', 'tri', 'button', 'way', 'took', 'back', 'even', 'think', 'want', 'larger', 'size', 'button', 'fragil']",Negative,Negative,Negative
love sweater lightweight cute detail side waist sweet saccharin bow back neck realli want love sweater go back look um use pill along arm even got wear got return sadli,"['love', 'sweater', 'lightweight', 'cute', 'detail', 'side', 'waist', 'sweet', 'saccharin', 'bow', 'back', 'neck', 'realli', 'want', 'love', 'sweater', 'go', 'back', 'look', 'um', 'use', 'pill', 'along', 'arm', 'even', 'got', 'wear', 'got', 'return', 'sadli']",Neutral,Neutral,Neutral
cut dress gorgeou could great made qualiti silk line although color beauti cheap fabric variat satur lack sheen qualiti silk shock price still beauti silk dress retail pre back qualiti,"['cut', 'dress', 'gorgeou', 'could', 'great', 'made', 'qualiti', 'silk', 'line', 'although', 'color', 'beauti', 'cheap', 'fabric', 'variat', 'satur', 'lack', 'sheen', 'qualiti', 'silk', 'shock', 'price', 'still', 'beauti', 'silk', 'dress', 'retail', 'pre', 'back', 'qualiti']",Negative,Negative,Negative
titl say qualiti good put dress felt like wear shapeless sack fashion wallpap length longer model make sens sinc ok overal fit big size tri xs huge flatter breezi sexi way go back,"['titl', 'say', 'qualiti', 'good', 'put', 'dress', 'felt', 'like', 'wear', 'shapeless', 'sack', 'fashion', 'wallpap', 'length', 'longer', 'model', 'make', 'sens', 'sinc', 'ok', 'overal', 'fit', 'big', 'size', 'tri', 'xs', 'huge', 'flatter', 'breezi', 'sexi', 'way', 'go', 'back']",Negative,Negative,Negative
love top make look slimmer comfort well,"['love', 'top', 'make', 'look', 'slimmer', 'comfort', 'well']",Positive,Positive,Positive
cut design fit great top howev peopl written review top seethrough experi top sheer even nude bra clearli outlin sadli deal breaker return also side note appreci receiv garment mail onlin order alreadi makeup stain collar watch,"['cut', 'design', 'fit', 'great', 'top', 'howev', 'peopl', 'written', 'review', 'top', 'seethrough', 'experi', 'top', 'sheer', 'even', 'nude', 'bra', 'clearli', 'outlin', 'sadli', 'deal', 'breaker', 'return', 'also', 'side', 'note', 'appreci', 'receiv', 'garment', 'mail', 'onlin', 'order', 'alreadi', 'makeup', 'stain', 'collar', 'watch']",Positive,Positive,Neutral
realli want like dress disappoint came mail sort hip light pattern middl favor made hip look soooo wide seam gather middl one continu piec fabric might look better seam pattern cut look piec togeth drew much attent stomach hip go back,"['realli', 'want', 'like', 'dress', 'disappoint', 'came', 'mail', 'sort', 'hip', 'light', 'pattern', 'middl', 'favor', 'made', 'hip', 'look', 'soooo', 'wide', 'seam', 'gather', 'middl', 'one', 'continu', 'piec', 'fabric', 'might', 'look', 'better', 'seam', 'pattern', 'cut', 'look', 'piec', 'togeth', 'drew', 'much', 'attent', 'stomach', 'hip', 'go', 'back']",Negative,Negative,Negative
wore two time got ton compliment run small bit tight size correctli realli stun second wear fabric arm fray unwear return disappoint sadli would recommend buy reason,"['wore', 'two', 'time', 'got', 'ton', 'compliment', 'run', 'small', 'bit', 'tight', 'size', 'correctli', 'realli', 'stun', 'second', 'wear', 'fabric', 'arm', 'fray', 'unwear', 'return', 'disappoint', 'sadli', 'would', 'recommend', 'buy', 'reason']",Negative,Negative,Negative
overal dress beauti easi great qualiti bottom part fabric appear photo make sens poofi superlay pinch fabric part dress order straightshift shape see onlin besid bottom part fit true size petit extra fabric look think work depend look beauti though,"['overal', 'dress', 'beauti', 'easi', 'great', 'qualiti', 'bottom', 'part', 'fabric', 'appear', 'photo', 'make', 'sens', 'poofi', 'superlay', 'pinch', 'fabric', 'part', 'dress', 'order', 'straightshift', 'shape', 'see', 'onlin', 'besid', 'bottom', 'part', 'fit', 'true', 'size', 'petit', 'extra', 'fabric', 'look', 'think', 'work', 'depend', 'look', 'beauti', 'though']",Neutral,Neutral,Neutral
overal soft materi cute pattern definit return fit right fit six top base size chart order size small fit comfort around bust cup placement basic center chest breast squish uncomfort unflatt middl lost bit weight recent day would work imagin anyon broad,"['overal', 'soft', 'materi', 'cute', 'pattern', 'definit', 'return', 'fit', 'right', 'fit', 'six', 'top', 'base', 'size', 'chart', 'order', 'size', 'small', 'fit', 'comfort', 'around', 'bust', 'cup', 'placement', 'basic', 'center', 'chest', 'breast', 'squish', 'uncomfort', 'unflatt', 'middl', 'lost', 'bit', 'weight', 'recent', 'day', 'would', 'work', 'imagin', 'anyon', 'broad']",Neutral,Neutral,Neutral
read review order size problem run small took bodic true size stuck skirt small size want think differ bodic larg size skirt true size top bottom would perfect unfortun get size fit bodic skirt pucker back show flaw spare tire size atroci long torso,"['read', 'review', 'order', 'size', 'problem', 'run', 'small', 'took', 'bodic', 'true', 'size', 'stuck', 'skirt', 'small', 'size', 'want', 'think', 'differ', 'bodic', 'larg', 'size', 'skirt', 'true', 'size', 'top', 'bottom', 'would', 'perfect', 'unfortun', 'get', 'size', 'fit', 'bodic', 'skirt', 'pucker', 'back', 'show', 'flaw', 'spare', 'tire', 'size', 'atroci', 'long', 'torso']",Neutral,Neutral,Neutral
romper cute wo deni howev rayon fabric made realli feel like wear pajama afraid would wrinkl horribl howev real problem romper hard get shoulder short littl wider shoulder perhap issu seem like anoth review problem two snap waist noth open waist cont,"['romper', 'cute', 'wo', 'deni', 'howev', 'rayon', 'fabric', 'made', 'realli', 'feel', 'like', 'wear', 'pajama', 'afraid', 'would', 'wrinkl', 'horribl', 'howev', 'real', 'problem', 'romper', 'hard', 'get', 'shoulder', 'short', 'littl', 'wider', 'shoulder', 'perhap', 'issu', 'seem', 'like', 'anoth', 'review', 'problem', 'two', 'snap', 'waist', 'noth', 'open', 'waist', 'cont']",Neutral,Neutral,Neutral
love look top review seem realli good thought materi great order blue beauti color fit way design way girl hip first fit arm pit low actual tuck armpit weird restrict arm movement design great either other mention sweater bottom way much extra materi,"['love', 'look', 'top', 'review', 'seem', 'realli', 'good', 'thought', 'materi', 'great', 'order', 'blue', 'beauti', 'color', 'fit', 'way', 'design', 'way', 'girl', 'hip', 'first', 'fit', 'arm', 'pit', 'low', 'actual', 'tuck', 'armpit', 'weird', 'restrict', 'arm', 'movement', 'design', 'great', 'either', 'other', 'mention', 'sweater', 'bottom', 'way', 'much', 'extra', 'materi']",Neutral,Neutral,Neutral
order small medium hope one would work previou review exactli correct bodic way small proport rest jumpsuit bottom lot fabric would bad except go size make bodic fit bottom becom overwhelm slim build could get bodic zip small medium would need alter would fix extra fabric th,"['order', 'small', 'medium', 'hope', 'one', 'would', 'work', 'previou', 'review', 'exactli', 'correct', 'bodic', 'way', 'small', 'proport', 'rest', 'jumpsuit', 'bottom', 'lot', 'fabric', 'would', 'bad', 'except', 'go', 'size', 'make', 'bodic', 'fit', 'bottom', 'becom', 'overwhelm', 'slim', 'build', 'could', 'get', 'bodic', 'zip', 'small', 'medium', 'would', 'need', 'alter', 'would', 'fix', 'extra', 'fabric', 'th']",Negative,Negative,Negative
tri dress local store disappoint slip portion dress give slip even though dress portion quit flowi slip prevent anyon larg chest hip wear dress,"['tri', 'dress', 'local', 'store', 'disappoint', 'slip', 'portion', 'dress', 'give', 'slip', 'even', 'though', 'dress', 'portion', 'quit', 'flowi', 'slip', 'prevent', 'anyon', 'larg', 'chest', 'hip', 'wear', 'dress']",Negative,Negative,Negative
want badli love dress could get past thin materi actual see price anyhow dress shorter anticip fit around waistlin flare bottom feel accur portray photo posit though color beauti neck line stun ala return,"['want', 'badli', 'love', 'dress', 'could', 'get', 'past', 'thin', 'materi', 'actual', 'see', 'price', 'anyhow', 'dress', 'shorter', 'anticip', 'fit', 'around', 'waistlin', 'flare', 'bottom', 'feel', 'accur', 'portray', 'photo', 'posit', 'though', 'color', 'beauti', 'neck', 'line', 'stun', 'ala', 'return']",Negative,Negative,Negative
definit smell like vinegar went away hour think itchi kind baggi kind look fade darker look casual pic wear night cute ear,"['definit', 'smell', 'like', 'vinegar', 'went', 'away', 'hour', 'think', 'itchi', 'kind', 'baggi', 'kind', 'look', 'fade', 'darker', 'look', 'casual', 'pic', 'wear', 'night', 'cute', 'ear']",Positive,Positive,Positive
hand wore boy stretch day realli hope shrink back,"['hand', 'wore', 'boy', 'stretch', 'day', 'realli', 'hope', 'shrink', 'back']",Positive,Negative,Neutral
like top unfortun return way long color pretti design minu length make look frumpi mayb offer petit taller would work,"['like', 'top', 'unfortun', 'return', 'way', 'long', 'color', 'pretti', 'design', 'minu', 'length', 'make', 'look', 'frumpi', 'mayb', 'offer', 'petit', 'taller', 'would', 'work']",Neutral,Neutral,Neutral
realli want like top model backward v actual back close eye hook tag also seam run back front actual high round neck materi metal thread felt rather scratchi cheap usual xs top much materi bottom flare strang xs short front move arm caus ride,"['realli', 'want', 'like', 'top', 'model', 'backward', 'v', 'actual', 'back', 'close', 'eye', 'hook', 'tag', 'also', 'seam', 'run', 'back', 'front', 'actual', 'high', 'round', 'neck', 'materi', 'metal', 'thread', 'felt', 'rather', 'scratchi', 'cheap', 'usual', 'xs', 'top', 'much', 'materi', 'bottom', 'flare', 'strang', 'xs', 'short', 'front', 'move', 'arm', 'caus', 'ride']",Neutral,Neutral,Neutral
